,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
479,MN,MT,5440743
480,NC,MN,5434303
481,CO,TN,5431294
482,NC,CO,5423645
483,PA,MO,5421704
484,PR,NJ,5421400
485,HI,AZ,5404901
486,MI,NJ,5382813
487,MD,CO,5373188
488,NJ,PR,5364636
489,NJ,MI,5344989
490,NJ,OH,5339415
491,MI,MA,5337050
492,GA,CT,5304688
493,CT,GA,5296531
494,TN,VA,5276667
495,TN,MN,5275508
496,IL,OK,5234467
497,MA,MI,5220903
498,VA,TN,5205662
499,NY,TN,5202400
500,CO,MD,5177033
501,OH,NJ,5170838
502,MN,TN,5158653
503,NM,CO,5139441
504,CO,NM,5133950
505,WI,CO,5126635
506,CO,WI,5124070
507,OK,IL,5118299
508,TN,NY,5114492
509,OH,KY,5023847
510,MD,MO,5018092
511,NV,NC,4991377
512,MO,MD,4957229
513,NY,NJ,4954574
514,IL,RI,4941954
515,PR,GA,4941748
516,RI,IL,4925366
517,NJ,NY,4912619
518,OH,MO,4896852
519,AR,GA,4884397
520,GA,AR,4884305
521,NC,NV,4876396
522,OH,MN,4852849
523,VA,SC,4852474
524,GA,PR,4846054
525,CA,OH,4845130
526,MO,OH,4823188
527,NV,HI,4816292
528,OH,AZ,4798260
529,SC,VA,4795003
530,MA,MN,4778491
531,MN,OH,4776098
532,TX,NE,4766697
533,NE,TX,4763921
534,CA,ID,4760052
535,OH,CA,4759250
536,KY,KY,4757301
537,MN,MA,4746262
538,HI,NV,4740327
539,AZ,OH,4733505
540,WA,NY,4732950
541,MD,PA,4700651
542,NY,WA,4700576
543,ID,CA,4696997
544,AZ,MD,4676215
545,OK,MO,4674075
546,CT,MD,4669867
547,MD,AZ,4666060
548,TN,LA,4656540
549,IL,LA,4646440
550,LA,TN,4606823
551,MO,OK,4601414
552,KY,OH,4593663
553,MD,CT,4581270
554,LA,IL,4567580
555,MA,MA,4565350
556,MN,SD,4557407
557,PA,MD,4533366
558,SD,MN,4525433
559,RI,PA,4456554
560,WA,MI,4456086
561,NY,SC,4455831
562,TN,PA,4450529
563,PA,RI,4433029
564,SC,NY,4422272
565,PA,TN,4414848
566,MI,WA,4414367
567,WA,VA,4401213
568,MD,TN,4398353
569,OK,GA,4378406
570,TN,MD,4366817
571,WA,MT,4361628
572,WA,NJ,4343477
573,GA,OK,4341785
574,MN,UT,4335442
575,MT,WA,4322625
576,MD,NV,4281257
577,NJ,WA,4278111
578,KY,TN,4276646
579,PA,CT,4265059
580,UT,NY,4251929
581,NC,AL,4247018
582,NY,UT,4238766
583,VA,WA,4232305
584,VI,PR,4231191
585,CT,PA,4229294
586,AL,NC,4195434
587,TN,KY,4194517
588,CT,NC,4194063
589,UT,MN,4191042
590,NC,CT,4185967
591,NV,MD,4179777
592,TX,SC,4173271
593,SC,TX,4155181
594,MN,OR,4110204
595,IN,CO,4099019
596,CO,IN,4085640
597,WI,TX,4074402
598,CA,LA,4062481
599,PR,VI,4062007
600,TX,WI,4054490
601,NH,FL,4039201
602,LA,CA,4035601
603,OR,MN,4031904
604,NJ,MN,4028765
605,OH,TN,4016005
606,PR,PA,4005984
607,MN,NJ,3994894
608,FL,NH,3990497
609,TN,OH,3968642
610,MO,KY,3944514
611,PR,TX,3943016
612,PA,PR,3927977
613,IA,MN,3923486
614,KY,MO,3921379
615,MN,IA,3918768
616,NV,VA,3906308
617,KS,TX,3902488
618,TX,KS,3890635
619,CT,VA,3860931
620,IN,NC,3857218
621,PA,NH,3831327
622,HI,OR,3824756
623,WY,CO,3823458
624,VA,CT,3817741
625,TX,PR,3814707
626,CO,ID,3807859
627,NJ,PA,3793755
628,ID,CO,3778767
629,OR,HI,3770344
630,MD,KY,3769503
631,LA,NC,3764450
632,NH,PA,3757122
633,NC,LA,3751608
634,PA,NJ,3740393
635,VA,NV,3726946
636,CO,WY,3726427
637,TT,TT,3709094
638,SC,IL,3697533
639,IL,SC,3690631
640,KY,UT,3663158
641,KY,MD,3660127
642,MN,NE,3642107
643,NC,IN,3622854
644,NH,IL,3618982
645,NJ,MO,3615914
646,NE,MN,3588900
647,IL,NH,3585771
648,MO,NJ,3578183
649,IA,CO,3567971
650,TN,TN,3565509
651,VA,AZ,3558663
652,AZ,VA,3555031
653,UT,KY,3522009
654,KY,MN,3512665
655,VI,FL,3500219
656,FL,VI,3483499
657,MN,KY,3445232
658,OR,GA,3400717
659,HI,IL,3399069
660,PR,IL,3398403
661,IL,AR,3388776
662,IL,HI,3372486
663,AR,IL,3358369
664,IN,MN,3358019
665,CO,IA,3339309
666,MO,UT,3329858
667,NY,LA,3326238
668,IL,PR,3309659
669,LA,NY,3306636
670,UT,MO,3302482
671,KY,CO,3278472
672,WI,AZ,3278143
673,FL,UT,3270713
674,AZ,NE,3267777
675,UT,FL,3265124
676,MN,IN,3256646
677,CO,KY,3254968
678,AZ,WI,3253994
679,NE,AZ,3239135
680,NV,KY,3238422
681,NC,RI,3237238
682,CO,SD,3230456
683,MO,WA,3227524
684,RI,NC,3227509
685,WI,NV,3222399
686,SD,CO,3219967
687,NV,TN,3208319
688,LA,CO,3207199
689,OH,MA,3206109
690,WA,MO,3199889
691,TN,NV,3193554
692,MA,OH,3192452
693,NV,WI,3190833
694,WA,FL,3170527
695,NY,ME,3163800
696,CO,LA,3160311
697,ME,NY,3157228
698,IA,TX,3138834
699,GA,OR,3130691
700,KY,NV,3123762
701,NJ,SC,3114278
702,MN,AK,3097276
703,SC,NJ,3096971
704,TX,IA,3092634
705,FL,WA,3072029
706,PA,IN,3028462
707,AZ,IN,3026668
708,AL,FL,3021423
709,VT,NY,3015401
710,IN,AZ,3013220
711,NM,NV,3008203
712,PR,MA,3003525
713,AK,MN,3003089
714,NY,WI,2999836
715,WA,PA,2999744
716,NY,VT,2997778
717,WI,NY,2984205
718,NV,NM,2967937
719,MA,PR,2963461
720,LA,VA,2955754
721,FL,AL,2931410
722,MD,MN,2925256
723,NJ,KY,2923836
724,VA,LA,2915806
725,AZ,OK,2913059
726,NV,IN,2910352
727,NJ,TN,2900457
728,IN,NV,2900077
729,PA,WA,2895672
730,IN,PA,2891516
731,KY,NJ,2887524
732,OK,AZ,2885057
733,MN,MD,2870753
734,WI,MO,2870084
735,MO,WI,2868423
736,VA,RI,2860386
737,MA,AZ,2850985
738,ND,CO,2840764
739,TN,NJ,2839239
740,CO,ND,2838750
741,VA,IN,2837863
742,AZ,MA,2817391
743,ID,OR,2805180
744,AZ,TN,2795675
745,RI,VA,2788622
